ID	Name	Secret
754	FICHTENWEG	QJmb3jr5
755	PESTALOZZISTRASSE	z9zuB2Kz
756	GALGENHEIDE	eXY7DsrU
757	FRANKENWEG	ChsmNGjG
758	AM PASTORENBUSCH	McCcfZJV
759	AM PASTORENBUSCH	BE889ckH
760	AM PASTORENBUSCH	CKEuVJPr
761	UFERSTRASSE	LETkm7XA
762	AM STEINTOR	MMsb6fAM
763	LIBORISTRASSE	4BRndQja
764	KIRCHHOFFWEG	f4gVcMK4
765	AM HOF HESSELMANN	JcFBWpZz
766	RUBENSSTRASSE	AxfjHxqG
767	ALTE SCHANZE	uVhQ7M3Y
768	KLEIHORSTSTRASSE   	KQaDvdXQ
769	ELISABETH-KIRCHPLATZ	hKEECYe4
770	AASEE: MECKLENBECKER STRASSE	YGS8YezD
771	AASEE: MECKLENBECKER STRASSE	3UAvH3vj
772	VON-OSSIETZKY-STRASSE	UEBp9eEA
773	AM HAUPTZENTRUM KINDERHAUS	MKDRA2jM
774	BIEDERLACKWEG	uLcgBXp2
775	GESCHERWEG - WEST	DuHt4Mef
776	GESCHERWEG - WEST	XaHnu9gC
777	AASEEMARKT, GOERDELERSTRASSE	YQyuFxcm
778	AASEEMARKT, GOERDELERSTRASSE	EjN5CJSw
779	LEGDENWEG-OST	nxPGYHjK
780	MINDENER STRASSE	FAAxDQyd
781	ALBERT-SCHWEITZER-SCHULE	n8Uh5kRm
782	RIGAWEG	DV6FBF5Y
783	THOMAS-MORUS-SCHULE	X3ncspfp
784	SAMLANDUFER	ZxvJsAeN
785	SAMLANDUFER	v3N2dq9k
786	IDASCHULE, VÖRNSTE ESCH	ecwAaQuG
787	SANKT-JOSEF-KIRCHPLATZ	5VrnMKHr
788	ALBACHTENER STRASSE	xCtJytpb
789	BODELSCHWINGHSTRASSE	KvcgMsfJ
790	BOELESTRASSE	pzVH94Z2
791	LANGE KUHLE	c6BR6wQa
640	HOPPENGARTEN-SÜD	EGt2C66h
641	AM HORNBACH	nZJdqvG9
642	VOGELROHRSHEIDE	9Z997sPU
643	KUPFERBRINK	B2RJBjPx
644	BENTELERSTRASSE	8nKmmN4J
645	HÄGER	pwYx7p7W
646	MEMMERTWEG-NORD	BpPMwJRn
647	MEMMERTWEG-NORD	aUuDCRks
648	AM KALVARIENBERG	YY8kZtKb
649	CANISIUSWEG	BmpmVAP8
650	NISINGHOVERWEG	QK2ZchBG
651	STAUFENSTRASSE	j6qGxYN8
652	DAHLWEG	JVKskMGp
653	SEPPENRADEWEG	9gvKzvHF
654	AM BURLOH	gBFmp948
655	GIEVENBACHTAL	Mk9KHRcY
